"","BASEFLOW","QUICKFLOW"
"1252",2.821,0.379
"1253",2.829,1.171
"1254",2.841,0.559
"1255",2.856,0.744
"1256",2.872,0.228
"1257",2.888,0.912
"1258",2.907,1.393
"1259",2.929,0.571
"1260",2.953,0.747
"1261",2.976,1.924
"1262",2.996,0.904
"1263",3.014,0.386
"1264",3.03,0.57
"1265",3.043,0.657
"1266",3.054,0.546
"1267",3.063,5.737
"1268",3.068,2.332
"1269",3.034,1.166
"1270",2.961,0.939
"1271",2.892,0.808
"1272",2.839,0.561
"1273",2.79,3.31
"1274",2.732,0.768
"1275",2.669,0.931
"1276",2.601,1.099
"1277",2.544,0.556
"1278",2.511,0.289
"1279",2.5,0
"1280",2.5,0.1
"1281",2.508,5.392
"1282",2.524,2.076
"1283",2.538,3.862
"1284",2.548,2.552
"1285",2.554,2.046
"1286",2.544,0.356
"1287",2.515,0.385
"1288",2.5,0
"1289",2.502,1.398
"1290",2.511,2.289
"1291",2.533,4.267
"1292",2.573,4.627
"1293",2.633,4.367
"1294",2.708,3.092
"1295",2.789,1.911
"1296",2.87,1.23
"1297",2.947,1.053
"1298",3.02,1.88
"1299",3.093,5.207
"1300",3.164,2.336
"1301",3.228,1.872
"1302",3.284,1.516
"1303",3.334,1.366
"1304",3.376,1.524
"1305",3.412,1.488
"1306",3.441,1.959
"1307",3.463,1.037
"1308",3.479,0.721
"1309",3.49,0.51
"1310",3.499,0.101
"1311",3.54,23.76
"1312",3.642,16.258
"1313",3.763,5.937
"1314",3.869,4.331
"1315",3.957,3.343
"1316",4.027,2.873
"1317",4.081,2.319
"1318",4.121,1.479
"1319",4.152,0.948
"1320",4.176,1.424
"1321",4.195,1.205
"1322",4.207,3.293
"1323",4.213,1.187
"1324",4.186,0.614
"1325",4.134,1.966
"1326",4.073,2.027
"1327",4.008,0.792
"1328",3.96,0.44
"1329",3.923,0.977
"1330",3.881,1.719
"1331",3.83,1.07
"1332",3.798,0.102
"1333",3.789,0.411
"1334",3.778,0.722
"1335",3.762,1.238
"1336",3.738,2.362
"1337",3.703,0.997
"1338",3.66,1.14
"1339",3.614,0.586
"1340",3.566,0.634
"1341",3.514,1.086
"1342",3.455,2.145
"1343",3.411,0.289
"1344",3.4,0
"1345",3.405,3.295
"1346",3.42,1.48
"1347",3.441,1.059
"1348",3.461,0.539
"1349",3.479,4.321
"1350",3.494,1.406
"1351",3.505,0.895
"1352",3.513,0.087
"1353",3.52,0.08
"1354",3.534,5.766
"1355",3.565,2.435
"1356",3.614,4.386
"1357",3.676,3.924
"1358",3.752,3.448
"1359",3.836,2.964
"1360",3.92,2.48
"1361",3.996,2.004
"1362",4.066,1.534
"1363",4.129,2.271
"1364",4.184,4.116
"1365",4.232,2.568
"1366",4.272,2.728
"1367",4.303,2.697
"1368",4.326,1.174
"1369",4.341,0.959
"1370",4.351,0.649
"1371",4.357,0.443
"1372",4.36,0.14
"1373",4.362,2.138
"1374",4.355,2.645
"1375",4.32,0.68
"1376",4.3,0
"1377",4.305,3.595
"1378",4.326,4.774
"1379",4.376,9.324
"1380",4.455,3.745
"1381",4.543,2.757
"1382",4.622,6.278
"1383",4.693,3.007
"1384",4.754,4.446
"1385",4.804,2.796
"1386",4.844,3.356
"1387",4.872,5.828
"1388",4.888,5.312
"1389",4.837,2.063
"1390",4.668,3.732
"1391",4.481,2.519
"1392",4.297,2.203
"1393",4.163,1.237
"1394",4.078,0.922
"1395",4.003,1.497
"1396",3.919,1.481
"1397",3.825,2.475
"1398",3.742,0.858
"1399",3.68,0.72
"1400",3.63,0.57
"1401",3.583,0.717
"1402",3.533,0.867
"1403",3.476,1.424
"1404",3.412,1.388
"1405",3.34,0.96
"1406",3.278,0.622
"1407",3.225,2.975
"1408",3.157,2.143
"1409",3.092,0.708
"1410",3.033,1.867
"1411",2.96,4.84
"1412",2.86,6.24
"1413",2.73,2.67
"1414",2.583,1.917
"1415",2.456,1.344
"1416",2.367,0.933
"1417",2.296,0.904
"1418",2.226,0.874
"1419",2.155,1.045
"1420",2.095,0.605
"1421",2.054,0.446
"1422",2.026,0.274
"1423",2.007,0.193
"1424",2,0
"1425",2.008,5.892
"1426",2.036,3.164
"1427",2.081,2.319
"1428",2.129,5.271
"1429",2.173,5.127
"1430",2.209,4.391
"1431",2.238,2.262
"1432",2.259,1.441
"1433",2.271,1.029
"1434",2.276,0.824
"1435",2.246,0.854
"1436",2.185,0.715
"1437",2.135,0.565
"1438",2.09,0.61
"1439",2.048,0.452
"1440",2.016,0.384
"1441",1.984,0.416
"1442",1.959,0.241
"1443",1.943,0.157
"1444",1.93,0.67
"1445",1.913,0.887
"1446",1.891,0.909
"1447",1.863,0.837
"1448",1.83,1.17
"1449",1.791,0.609
"1450",1.748,0.552
"1451",1.708,0.492
"1452",1.672,0.428
"1453",1.645,0.255
"1454",1.629,0.171
"1455",1.615,0.185
"1456",1.604,0.096
"1457",1.6,0
"1458",1.601,0.999
"1459",1.623,12.177
"1460",1.693,12.007
"1461",1.812,6.288
"1462",1.94,4.46
"1463",2.058,3.742
"1464",2.163,3.537
"1465",2.256,2.744
"1466",2.337,2.363
"1467",2.407,2.093
"1468",2.465,1.735
"1469",2.512,1.688
"1470",2.549,1.451
"1471",2.577,1.323
"1472",2.597,1.303
"1473",2.61,0.99
"1474",2.616,0.984
"1475",2.586,0.814
"1476",2.52,1.08
"1477",2.448,1.052
"1478",2.374,0.926
"1479",2.303,0.897
"1480",2.23,0.97
"1481",2.152,1.048
"1482",2.071,1.029
"1483",1.987,1.113
"1484",1.901,1.099
"1485",1.816,1.084
"1486",1.728,1.172
"1487",1.653,0.747
"1488",1.613,0.287
"1489",1.59,0.31
"1490",1.564,0.336
"1491",1.541,0.259
"1492",1.52,0.28
"1493",1.502,0.198
"1494",1.486,0.214
"1495",1.468,0.332
"1496",1.449,0.251
"1497",1.433,0.167
"1498",1.419,0.481
"1499",1.403,0.397
"1500",1.384,0.416
"1501",1.362,0.438
"1502",1.338,0.362
"1503",1.312,0.388
"1504",1.286,0.314
"1505",1.265,0.235
"1506",1.245,0.355
"1507",1.225,0.275
"1508",1.206,0.194
"1509",1.19,0.31
"1510",1.173,0.327
"1511",1.153,0.347
"1512",1.132,0.368
"1513",1.108,0.392
"1514",1.083,0.317
"1515",1.061,0.239
"1516",1.046,0.154
"1517",1.033,0.167
"1518",1.024,0.076
"1519",1.018,0.082
"1520",1.011,0.089
"1521",1.004,0.096
"1522",1,0
"1523",1,0.2
"1524",1.001,0.199
"1525",1.003,0.197
"1526",1.006,0.194
"1527",1.01,0.09
"1528",1.014,0.786
"1529",1.022,0.978
"1530",1.036,3.964
"1531",1.052,2.948
"1532",1.066,1.234
"1533",1.076,0.524
"1534",1.083,0.317
"1535",1.088,0.212
"1536",1.092,0.208
"1537",1.094,0.106
"1538",1.096,0.504
"1539",1.097,0.303
"1540",1.098,0.002
"1541",1.098,0.002
"1542",1.098,0.102
"1543",1.099,0.401
"1544",1.102,1.198
"1545",1.107,1.893
"1546",1.11,0.89
"1547",1.111,0.489
"1548",1.097,0.403
"1549",1.075,0.225
"1550",1.057,0.243
"1551",1.041,0.159
"1552",1.029,0.171
"1553",1.015,0.185
"1554",1.004,0.096
"1555",1,0
"1556",1,0
"1557",1,0
"1558",1,0
"1559",1,0
"1560",1,0
"1561",1,0
"1562",1,0.2
"1563",1.001,0.299
"1564",1.003,0.097
"1565",1.004,0.296
"1566",1.005,0.095
"1567",1.005,0.295
"1568",1.003,0.097
"1569",1,0
"1570",1,0
"1571",1,0.1
"1572",1.001,0.199
"1573",1.002,0.198
"1574",1.005,0.295
"1575",1.009,0.491
"1576",1.014,1.086
"1577",1.019,0.381
"1578",1.024,0.476
"1579",1.027,0.373
"1580",1.029,0.271
"1581",1.03,0.17
"1582",1.021,0.179
"1583",1.011,0.089
"1584",1.004,0.096
"1585",1,0
"1586",1,0
"1587",1,0.1
"1588",1,0.1
"1589",1,0.1
"1590",1,0
"1591",1,0
"1592",1,0
"1593",1,0
"1594",1,0
"1595",1.001,0.499
"1596",1.004,0.796
"1597",1.01,0.39
"1598",1.018,0.282
"1599",1.027,0.373
"1600",1.036,0.664
"1601",1.048,0.652
"1602",1.065,2.935
"1603",1.085,1.315
"1604",1.104,0.796
"1605",1.119,0.581
"1606",1.133,0.667
"1607",1.144,0.256
"1608",1.153,0.247
"1609",1.161,0.539
"1610",1.167,0.633
"1611",1.171,0.729
"1612",1.174,0.126
"1613",1.176,0.024
"1614",1.179,0.421
"1615",1.183,1.117
"1616",1.192,0.708
"1617",1.204,0.596
"1618",1.218,0.882
"1619",1.235,0.965
"1620",1.255,1.045
"1621",1.277,0.723
"1622",1.301,1.199
"1623",1.328,0.772
"1624",1.355,0.845
"1625",1.383,0.617
"1626",1.412,1.488
"1627",1.444,1.856
"1628",1.481,1.619
"1629",1.522,0.978
"1630",1.564,1.736
"1631",1.608,1.692
"1632",1.655,1.145
"1633",1.703,1.797
"1634",1.749,1.351
"1635",1.791,0.809
"1636",1.83,0.47
"1637",1.866,1.234
"1638",1.904,1.596
"1639",1.944,1.456
"1640",1.987,1.613
"1641",2.034,2.066
"1642",2.083,1.017
"1643",2.132,0.668
"1644",2.185,5.615
"1645",2.249,1.751
"1646",2.319,1.381
"1647",2.389,2.711
"1648",2.458,6.442
"1649",2.522,5.778
"1650",2.577,2.823
"1651",2.622,1.678
"1652",2.659,1.241
"1653",2.687,1.613
"1654",2.708,3.992
"1655",2.72,4.28
"1656",2.704,2.596
"1657",2.571,1.729
"1658",2.459,1.141
"1659",2.383,0.817
"1660",2.333,0.467
"1661",2.307,0.193
"1662",2.3,0
"1663",2.303,1.897
"1664",2.311,0.489
"1665",2.326,2.774
"1666",2.345,1.955
"1667",2.362,2.538
"1668",2.377,2.023
"1669",2.388,1.512
"1670",2.394,1.506
"1671",2.392,1.008
"1672",2.327,0.873
"1673",2.273,0.527
"1674",2.238,0.362
"1675",2.209,0.391
"1676",2.189,0.111
"1677",2.18,0.22
"1678",2.169,0.231
"1679",2.156,1.244
"1680",2.136,2.064
"1681",2.106,0.894
"1682",2.076,0.324
"1683",2.053,0.247
"1684",2.042,0.058
"1685",2.037,0.263
"1686",2.031,0.069
"1687",2.025,0.475
"1688",2.018,0.082
"1689",2.011,0.289
"1690",2.004,0.096
"1691",2,0
"1692",2.001,0.399
"1693",2.003,0.497
"1694",2.007,0.293
"1695",2.018,3.882
"1696",2.043,3.157
"1697",2.081,1.919
"1698",2.125,1.175
"1699",2.169,1.031
"1700",2.208,1.792
"1701",2.244,1.756
"1702",2.276,1.024
"1703",2.304,0.796
"1704",2.328,0.572
"1705",2.349,0.251
"1706",2.369,1.331
"1707",2.395,2.805
"1708",2.429,2.171
"1709",2.472,2.328
"1710",2.522,2.178
"1711",2.576,1.924
"1712",2.635,2.465
"1713",2.697,1.803
"1714",2.763,3.337
"1715",2.835,3.765
"1716",2.907,2.093
"1717",2.972,1.628
"1718",3.031,1.569
"1719",3.083,1.517
"1720",3.128,1.672
"1721",3.168,0.832
"1722",3.202,1.298
"1723",3.231,1.969
"1724",3.255,0.845
"1725",3.274,0.926
"1726",3.288,1.812
"1727",3.296,0.904
"1728",3.299,3.401
"1729",3.227,0.973
"1730",3.172,0.428
"1731",3.134,2.966
"1732",3.084,1.316
"1733",3.024,0.976
"1734",2.971,0.529
"1735",2.937,0.363
"1736",2.911,0.289
"1737",2.9,0
"1738",2.903,1.897
"1739",2.915,3.685
"1740",2.94,1.46
"1741",2.968,0.732
"1742",2.993,0.307
"1743",3.016,0.784
"1744",3.041,1.159
"1745",3.073,4.427
"1746",3.119,3.781
"1747",3.174,1.626
"1748",3.227,1.973
"1749",3.274,1.626
"1750",3.316,0.784
"1751",3.354,1.946
"1752",3.386,1.214
"1753",3.414,1.586
"1754",3.437,0.363
"1755",3.457,0.943
"1756",3.476,0.224
"1757",3.494,1.006
"1758",3.513,0.487
"1759",3.536,2.664
"1760",3.57,4.63
"1761",3.668,36.732
"1762",3.876,21.924
"1763",4.126,11.474
"1764",4.35,7.45
"1765",4.545,6.255
"1766",4.712,5.988
"1767",4.851,8.649
"1768",4.961,5.739
"1769",5.044,4.056
"1770",5.1,11.7
"1771",5.131,5.969
"1772",5.013,4.187
"1773",4.726,3.174
"1774",4.514,2.286
"1775",4.353,1.847
"1776",4.223,1.477
"1777",4.119,1.181
"1778",4.04,0.86
"1779",3.978,0.722
"1780",3.916,3.184
"1781",3.845,0.955
"1782",3.784,0.616
"1783",3.733,1.067
"1784",3.676,1.324
"1785",3.616,0.784
"1786",3.564,0.536
"1787",3.529,0.371
"1788",3.511,0.089
"1789",3.504,0.096
"1790",3.5,0
"1791",3.501,0.799
"1792",3.505,0.695
"1793",3.511,1.289
"1794",3.515,0.985
"1795",3.519,3.081
"1796",3.519,1.181
"1797",3.5,0
"1798",3.503,1.997
"1799",3.518,5.382
"1800",3.554,3.346
"1801",3.606,2.894
"1802",3.668,3.132
"1803",3.738,3.362
"1804",3.818,3.882
"1805",3.908,4.292
"1806",4.012,6.888
"1807",4.139,9.261
"1808",4.295,8.005
"1809",4.472,9.028
"1810",4.648,10.352
"1811",4.805,16.295
"1812",4.941,19.359
"1813",5.051,8.249
"1814",5.13,5.27
"1815",5.182,3.618
"1816",5.209,5.691
"1817",5.13,3.77
"1818",4.885,2.515
"1819",4.718,1.782
"1820",4.602,1.198
"1821",4.517,0.983
"1822",4.437,1.163
"1823",4.375,0.525
"1824",4.332,0.968
"1825",4.279,3.821
"1826",4.211,1.489
"1827",4.136,0.964
"1828",4.078,0.522
"1829",4.034,1.266
"1830",3.991,0.509
"1831",3.958,0.342
"1832",3.93,0.67
"1833",3.904,0.296
"1834",3.88,0.32
"1835",3.866,0.034
"1836",3.862,0.938
"1837",3.851,2.549
"1838",3.826,2.974
"1839",3.786,1.714
"1840",3.734,1.266
"1841",3.674,1.026
"1842",3.608,0.892
"1843",3.544,0.756
"1844",3.491,0.609
"1845",3.45,0.45
"1846",3.413,0.487
"1847",3.378,0.422
"1848",3.344,0.456
"1849",3.311,0.389
"1850",3.279,0.921
"1851",3.241,0.959
"1852",3.202,0.498
"1853",3.17,0.33
"1854",3.143,0.457
"1855",3.114,0.386
"1856",3.086,0.314
"1857",3.06,1.14
"1858",3.028,0.772
"1859",2.995,0.405
"1860",2.966,0.334
"1861",2.939,0.461
"1862",2.909,0.491
"1863",2.881,0.319
"1864",2.859,0.241
"1865",2.84,0.26
"1866",2.818,0.282
"1867",2.804,0.096
"1868",2.8,0
"1869",2.801,0.699
"1870",2.807,2.993
"1871",2.816,1.184
"1872",2.823,1.077
"1873",2.828,0.672
"1874",2.831,1.669
"1875",2.812,1.388
"1876",2.767,0.733
"1877",2.72,0.58
"1878",2.673,0.627
"1879",2.622,0.678
"1880",2.567,0.733
"1881",2.52,0.48
"1882",2.485,0.415
"1883",2.452,0.448
"1884",2.424,0.276
"1885",2.401,0.299
"1886",2.377,0.323
"1887",2.355,0.245
"1888",2.335,0.265
"1889",2.317,0.183
"1890",2.303,0.197
"1891",2.286,0.314
"1892",2.269,0.331
"1893",2.253,0.147
"1894",2.241,0.159
"1895",2.229,0.171
"1896",2.215,0.185
"1897",2.204,0.096
"1898",2.2,0
"1899",2.2,0.2
"1900",2.203,1.097
"1901",2.214,4.086
"1902",2.231,3.369
"1903",2.247,1.153
"1904",2.259,0.841
"1905",2.267,0.533
"1906",2.272,0.428
"1907",2.274,0.426
"1908",2.259,0.341
"1909",2.231,0.369
"1910",2.201,0.399
"1911",2.173,0.327
"1912",2.146,0.354
"1913",2.126,0.174
"1914",2.111,0.289
"1915",2.096,0.204
"1916",2.083,0.117
"1917",2.074,0.126
"1918",2.064,0.136
"1919",2.053,0.247
"1920",2.041,0.159
"1921",2.028,0.172
"1922",2.018,0.082
"1923",2.011,0.089
"1924",2.004,0.096
"1925",2,0
"1926",2,0.1
"1927",2,0.4
"1928",2,0
"1929",2,0
"1930",2,0.2
"1931",2.005,2.595
"1932",2.017,0.483
"1933",2.033,0.767
"1934",2.052,1.548
"1935",2.071,0.529
"1936",2.089,0.311
"1937",2.105,0.195
"1938",2.12,0.18
"1939",2.134,0.466
"1940",2.149,1.651
"1941",2.175,4.525
"1942",2.214,2.186
"1943",2.263,1.837
"1944",2.318,2.982
"1945",2.378,2.022
"1946",2.442,1.858
"1947",2.507,1.293
"1948",2.573,2.727
"1949",2.643,5.857
"1950",2.713,6.287
"1951",2.775,3.125
"1952",2.829,1.771
"1953",2.872,3.928
"1954",2.906,2.194
"1955",2.93,1.27
"1956",2.947,0.853
"1957",2.957,1.443
"1958",2.963,0.437
"1959",2.966,0.334
"1960",2.967,0.133
"1961",2.96,1.34
"1962",2.941,1.259
"1963",2.915,1.185
"1964",2.882,0.918
"1965",2.844,0.556
"1966",2.804,0.496
"1967",2.772,0.328
"1968",2.745,0.655
"1969",2.71,3.39
"1970",2.662,1.738
"1971",2.601,0.899
"1972",2.54,0.76
"1973",2.478,0.922
"1974",2.419,0.681
"1975",2.372,0.528
"1976",2.333,0.467
"1977",2.307,0.193
"1978",2.3,0
"1979",2.301,0.699
"1980",2.304,0.296
"1981",2.309,0.091
"1982",2.314,0.386
"1983",2.323,2.377
"1984",2.342,3.058
"1985",2.375,3.025
"1986",2.418,1.582
"1987",2.466,1.634
"1988",2.516,1.384
"1989",2.565,0.835
"1990",2.611,1.289
"1991",2.653,5.047
"1992",2.69,2.21
"1993",2.722,1.978
"1994",2.748,0.752
"1995",2.769,0.531
"1996",2.787,0.513
"1997",2.802,0.998
"1998",2.814,0.286
"1999",2.824,0.876
"2000",2.832,0.368
"2001",2.838,0.162
"2002",2.844,0.256
"2003",2.848,0.052
"2004",2.852,0.148
"2005",2.859,2.041
"2006",2.873,1.427
"2007",2.893,0.907
"2008",2.915,0.385
"2009",2.937,0.463
"2010",2.958,0.342
"2011",2.979,1.221
"2012",3.007,3.893
"2013",3.043,2.857
"2014",3.08,1.12
"2015",3.114,0.586
"2016",3.143,4.957
"2017",3.168,2.032
"2018",3.188,1.012
"2019",3.201,3.899
"2020",3.209,1.391
"2021",3.185,0.915
"2022",3.123,0.677
"2023",3.068,0.732
"2024",3.021,0.479
"2025",2.982,0.718
"2026",2.944,0.456
"2027",2.911,0.389
"2028",2.887,0.213
"2029",2.87,0.23
"2030",2.855,0.145
"2031",2.843,0.157
"2032",2.83,0.37
"2033",2.816,0.384
"2034",2.804,0.096
"2035",2.8,0
"2036",2.801,0.999
"2037",2.806,0.394
"2038",2.813,0.187
"2039",2.819,0.081
"2040",2.825,0.275
"2041",2.836,2.764
"2042",2.857,3.343
"2043",2.891,1.509
"2044",2.931,0.969
"2045",2.971,1.029
"2046",3.01,3.99
"2047",3.047,2.553
"2048",3.079,1.321
"2049",3.107,0.993
"2050",3.129,0.771
"2051",3.147,0.453
"2052",3.162,1.238
"2053",3.174,0.426
"2054",3.184,0.116
"2055",3.194,0.906
"2056",3.206,1.094
"2057",3.223,0.977
"2058",3.244,1.856
"2059",3.271,1.929
"2060",3.305,1.395
"2061",3.343,2.057
"2062",3.385,1.215
"2063",3.429,1.371
"2064",3.48,5.52
"2065",3.545,2.655
"2066",3.618,1.482
"2067",3.691,1.809
"2068",3.762,4.538
"2069",3.829,2.271
"2070",3.889,1.211
"2071",3.943,0.657
"2072",3.994,7.306
"2073",4.041,3.059
"2074",4.082,1.418
"2075",4.115,2.685
"2076",4.141,2.659
"2077",4.16,1.74
"2078",4.17,1.23
"2079",4.173,0.727
"2080",4.133,0.467
"2081",4.107,0.192
"2082",4.1,0
"2083",4.101,0.699
"2084",4.104,0.496
"2085",4.111,0.689
"2086",4.12,0.88
"2087",4.132,0.568
"2088",4.147,0.753
"2089",4.164,1.636
"2090",4.188,2.112
"2091",4.217,1.183
"2092",4.245,0.355
"2093",4.274,1.826
"2094",4.306,1.494
"2095",4.343,1.257
"2096",4.38,0.82
"2097",4.415,0.785
"2098",4.447,0.853
"2099",4.477,1.923
"2100",4.503,1.397
"2101",4.526,0.774
"2102",4.545,0.355
"2103",4.562,1.038
"2104",4.577,0.823
"2105",4.59,1.31
"2106",4.6,0.4
"2107",4.608,0.092
"2108",4.615,0.085
"2109",4.621,1.079
"2110",4.627,0.073
"2111",4.634,1.266
"2112",4.646,1.454
"2113",4.664,1.336
"2114",4.69,3.61
"2115",4.73,3.57
"2116",4.782,3.918
"2117",4.836,6.164
"2118",4.883,3.117
"2119",4.923,1.677
"2120",4.956,1.044
"2121",4.982,0.318
"2122",5.01,2.69
"2123",5.042,3.358
"2124",5.074,3.526
"2125",5.103,1.697
"2126",5.126,1.674
"2127",5.144,0.856
"2128",5.157,0.343
"2129",5.168,0.132
"2130",5.179,0.821
"2131",5.189,3.211
"2132",5.197,14.103
"2133",5.166,13.734
"2134",4.984,8.716
"2135",4.74,9.56
"2136",4.445,5.055
"2137",4.137,3.863
"2138",3.852,3.448
"2139",3.621,2.479
"2140",3.436,2.264
"2141",3.257,2.343
"2142",3.099,1.701
"2143",2.973,1.527
"2144",2.862,1.338
"2145",2.773,0.927
"2146",2.71,0.69
"2147",2.654,0.846
"2148",2.593,1.007
"2149",2.539,0.561
"2150",2.502,0.398
"2151",2.474,0.326
"2152",2.451,0.249
"2153",2.435,0.165
"2154",2.422,0.178
"2155",2.408,0.192
"2156",2.4,0
"2157",2.4,0
"2158",2.402,1.198
"2159",2.429,15.871
"2160",2.522,16.478
"2161",2.7,21.3
"2162",2.974,27.126
"2163",3.312,30.088
"2164",3.644,12.456
"2165",3.938,21.962
"2166",4.188,11.312
"2167",4.393,7.807
"2168",4.556,5.644
"2169",4.682,5.718
"2170",4.774,5.526
"2171",4.835,4.465
"2172",4.868,3.732
"2173",4.871,3.229
"2174",4.617,3.283
"2175",4.355,3.445
"2176",4.112,2.788
"2177",3.89,2.91
"2178",3.707,1.793
"2179",3.598,1.002
"2180",3.537,0.563
"2181",3.508,0.192
"2182",3.5,0
"2183",3.503,2.697
"2184",3.508,0.992
"2185",3.513,0.987
"2186",3.515,2.085
"2187",3.502,0.798
"2188",3.464,0.836
"2189",3.42,0.88
"2190",3.381,0.419
"2191",3.355,0.245
"2192",3.334,1.066
"2193",3.311,0.289
"2194",3.3,0
"2195",3.3,0
"2196",3.301,2.999
"2197",3.303,1.297
"2198",3.3,1.5
"2199",3.269,1.031
"2200",3.233,0.467
"2201",3.208,0.192
"2202",3.2,0
"2203",3.206,4.094
"2204",3.251,20.349
"2205",3.352,18.548
"2206",3.466,9.434
"2207",3.563,9.637
"2208",3.638,12.562
"2209",3.69,5.31
"2210",3.718,3.382
"2211",3.697,2.603
"2212",3.49,2.71
"2213",3.319,1.681
"2214",3.198,1.402
"2215",3.101,1.099
"2216",3.02,0.98
"2217",2.945,0.955
"2218",2.875,0.825
"2219",2.821,0.579
"2220",2.778,0.522
"2221",2.743,0.357
"2222",2.718,0.282
"2223",2.704,0.096
"2224",2.7,0
"2225",2.701,0.599
"2226",2.704,0.396
"2227",2.709,2.791
"2228",2.713,2.487
"2229",2.715,0.785
"2230",2.699,0.401
"2231",2.675,0.225
"2232",2.656,0.244
"2233",2.641,0.159
"2234",2.628,0.172
"2235",2.618,0.082
"2236",2.611,0.089
"2237",2.604,0.096
"2238",2.6,0
"2239",2.6,0
"2240",2.601,0.399
"2241",2.602,0.198
"2242",2.616,7.384
"2243",2.653,14.347
"2244",2.702,4.298
"2245",2.741,1.259
"2246",2.772,1.228
"2247",2.797,1.103
"2248",2.814,1.086
"2249",2.825,0.975
"2250",2.829,0.871
"2251",2.791,0.809
"2252",2.738,0.562
"2253",2.692,0.608
"2254",2.643,0.857
"2255",2.593,0.607
"2256",2.544,0.656
"2257",2.491,0.809
"2258",2.433,0.767
"2259",2.379,0.621
"2260",2.333,0.567
"2261",2.291,0.509
"2262",2.25,0.55
"2263",2.209,0.491
"2264",2.173,0.427
"2265",2.139,0.561
"2266",2.105,0.395
"2267",2.077,0.323
"2268",2.051,0.349
"2269",2.023,0.377
"2270",1.992,0.408
"2271",1.959,0.441
"2272",1.931,0.269
"2273",1.909,0.291
"2274",1.886,0.514
"2275",1.86,0.34
"2276",1.832,0.468
"2277",1.802,0.498
"2278",1.769,0.431
"2279",1.742,0.258
"2280",1.721,0.279
"2281",1.698,0.402
"2282",1.678,0.222
"2283",1.66,0.34
"2284",1.639,0.361
"2285",1.622,0.178
"2286",1.608,0.192
"2287",1.6,0
"2288",1.6,0
"2289",1.605,3.795
"2290",1.628,5.172
"2291",1.67,2.23
"2292",1.722,1.678
"2293",1.777,1.523
"2294",1.832,1.468
"2295",1.887,1.213
"2296",1.938,0.962
"2297",1.985,0.915
"2298",2.028,0.872
"2299",2.068,0.832
"2300",2.103,0.797
"2301",2.135,0.665
"2302",2.163,0.637
"2303",2.188,0.512
"2304",2.21,0.39
"2305",2.23,0.67
"2306",2.247,1.753
"2307",2.262,1.338
"2308",2.273,1.527
"2309",2.281,1.319
"2310",2.286,1.814
"2311",2.275,0.425
"2312",2.248,0.252
"2313",2.232,0.168
"2314",2.222,0.078
"2315",2.216,0.284
"2316",2.208,0.392
"2317",2.199,0.101
"2318",2.191,0.109
"2319",2.182,0.118
"2320",2.173,0.127
"2321",2.162,0.338
"2322",2.15,0.15
"2323",2.138,0.262
"2324",2.124,0.276
"2325",2.109,0.591
"2326",2.1,0
"2327",2.101,0.999
"2328",2.107,1.193
"2329",2.118,1.182
"2330",2.136,1.964
"2331",2.161,2.339
"2332",2.196,2.304
"2333",2.238,2.362
"2334",2.289,3.111
"2335",2.347,1.753
"2336",2.409,2.691
"2337",2.482,6.518
"2338",2.56,4.54
"2339",2.63,2.17
"2340",2.693,1.307
"2341",2.747,1.953
"2342",2.794,1.406
"2343",2.834,0.666
"2344",2.869,0.431
"2345",2.902,0.598
"2346",2.933,0.767
"2347",2.965,1.535
"2348",2.999,1.101
"2349",3.038,3.062
"2350",3.085,2.315
"2351",3.136,1.164
"2352",3.187,0.813
"2353",3.233,0.867
"2354",3.276,0.524
"2355",3.315,0.585
"2356",3.353,1.447
"2357",3.394,2.406
"2358",3.442,2.458
"2359",3.495,1.905
"2360",3.551,1.149
"2361",3.607,1.593
"2362",3.661,1.339
"2363",3.71,0.89
"2364",3.755,1.545
"2365",3.796,3.104
"2366",3.832,3.668
"2367",3.862,2.538
"2368",3.886,1.814
"2369",3.903,1.097
"2370",3.913,0.687
"2371",3.919,0.981
"2372",3.914,2.586
"2373",3.848,1.152
"2374",3.792,0.508
"2375",3.763,0.237
"2376",3.744,0.456
"2377",3.722,0.478
"2378",3.697,0.603
"2379",3.668,1.032
"2380",3.638,0.362
"2381",3.62,0.08
"2382",3.612,1.088
"2383",3.604,0.096
"2384",3.6,0
"2385",3.6,2.8
"2386",3.59,0.81
"2387",3.564,3.736
"2388",3.523,1.477
"2389",3.471,0.729
"2390",3.429,0.371
"2391",3.407,0.193
"2392",3.4,0
"2393",3.401,0.699
"2394",3.409,3.791
"2395",3.431,2.369
"2396",3.467,3.933
"2397",3.517,2.983
"2398",3.579,3.821
"2399",3.647,4.353
"2400",3.713,2.987
"2401",3.772,1.628
"2402",3.824,0.976
"2403",3.87,0.83
"2404",3.911,0.889
"2405",3.947,1.453
"2406",3.978,1.322
"2407",4.004,3.596
"2408",4.025,3.475
"2409",4.039,4.361
"2410",4.045,3.655
"2411",3.949,2.351
"2412",3.826,1.474
"2413",3.719,1.281
"2414",3.614,1.486
"2415",3.522,0.978
"2416",3.443,1.057
"2417",3.373,0.727
"2418",3.327,0.473
"2419",3.292,0.408
"2420",3.263,0.337
"2421",3.236,0.364
"2422",3.215,0.185
"2423",3.204,0.096
"2424",3.2,0
"2425",3.2,0.1
"2426",3.2,0
"2427",3.202,1.298
"2428",3.21,2.39
"2429",3.231,3.469
