"","BASEFLOW","QUICKFLOW"
"293",2.513,1.087
"294",2.433,0.967
"295",2.363,0.837
"296",2.299,0.801
"297",2.247,0.553
"298",2.206,0.494
"299",2.174,0.326
"300",2.151,0.249
"301",2.135,0.165
"302",2.126,0.074
"303",2.12,0.08
"304",2.113,0.287
"305",2.105,0.395
"306",2.1,0
"307",2.1,0.3
"308",2.104,1.396
"309",2.112,0.788
"310",2.129,4.471
"311",2.162,3.038
"312",2.208,1.792
"313",2.262,4.038
"314",2.329,13.071
"315",2.4,4.9
"316",2.461,2.939
"317",2.511,2.889
"318",2.549,1.651
"319",2.578,1.322
"320",2.599,0.801
"321",2.614,0.686
"322",2.625,0.575
"323",2.633,2.267
"324",2.636,1.064
"325",2.607,0.593
"326",2.567,0.433
"327",2.536,0.364
"328",2.505,0.995
"329",2.469,1.431
"330",2.426,0.974
"331",2.378,0.622
"332",2.332,0.568
"333",2.289,0.511
"334",2.256,0.344
"335",2.232,0.268
"336",2.215,0.185
"337",2.204,0.096
"338",2.2,0
"339",2.2,0
"340",2.205,3.895
"341",2.224,2.176
"342",2.259,5.241
"343",2.315,5.985
"344",2.393,4.807
"345",2.477,2.423
"346",2.553,1.847
"347",2.62,21.68
"348",2.675,13.325
"349",2.712,6.888
"350",2.728,3.572
"351",2.571,2.229
"352",2.426,1.474
"353",2.331,0.969
"354",2.265,0.735
"355",2.217,0.483
"356",2.182,0.418
"357",2.152,0.348
"358",2.124,0.376
"359",2.098,0.302
"360",2.073,0.427
"361",2.046,0.354
"362",2.017,0.483
"363",1.986,0.414
"364",1.953,0.547
"365",1.916,0.484
"366",1.881,0.419
"367",1.847,0.453
"368",1.814,0.386
"369",1.783,0.517
"370",1.749,0.551
"371",1.711,0.689
"372",1.669,0.631
"373",1.623,0.877
"374",1.571,1.029
"375",1.514,1.086
"376",1.463,0.537
"377",1.431,0.269
"378",1.41,0.29
"379",1.386,0.314
"380",1.361,0.339
"381",1.337,0.263
"382",1.316,0.284
"383",1.297,0.203
"384",1.281,0.219
"385",1.267,0.133
"386",1.256,0.144
"387",1.248,0.052
"388",1.243,0.557
"389",1.235,1.465
"390",1.22,0.38
"391",1.203,0.197
"392",1.191,0.109
"393",1.183,0.117
"394",1.173,0.227
"395",1.162,0.138
"396",1.151,0.549
"397",1.136,0.464
"398",1.121,0.179
"399",1.111,0.089
"400",1.104,0.096
"401",1.1,0
"402",1.1,0.1
"403",1.101,0.299
"404",1.104,0.696
"405",1.121,8.679
"406",1.154,8.846
"407",1.187,3.213
"408",1.212,1.788
"409",1.229,1.171
"410",1.239,0.961
"411",1.244,0.756
"412",1.215,0.585
"413",1.172,0.528
"414",1.137,0.363
"415",1.108,0.392
"416",1.08,0.32
"417",1.058,0.242
"418",1.038,0.362
"419",1.015,1.085
"420",0.988,0.612
"421",0.956,0.444
"422",0.921,0.579
"423",0.886,0.414
"424",0.857,0.343
"425",0.833,0.267
"426",0.815,0.185
"427",0.8,0.2
"428",0.784,0.216
"429",0.771,0.129
"430",0.76,0.14
"431",0.749,0.151
"432",0.737,0.163
"433",0.728,0.072
"434",0.721,0.279
"435",0.714,0.186
"436",0.705,0.195
"437",0.697,0.103
"438",0.688,0.112
"439",0.679,0.121
"440",0.669,0.131
"441",0.659,0.141
"442",0.647,0.153
"443",0.635,0.265
"444",0.621,0.179
"445",0.611,0.089
"446",0.604,0.096
"447",0.6,0
"448",0.6,0.1
"449",0.6,0
"450",0.6,0
"451",0.6,0
"452",0.6,0.3
"453",0.602,0.598
"454",0.607,0.593
"455",0.615,0.585
"456",0.624,0.776
"457",0.637,0.663
"458",0.651,0.749
"459",0.668,0.932
"460",0.69,2.41
"461",0.715,1.185
"462",0.741,0.559
"463",0.764,0.436
"464",0.784,0.416
"465",0.803,0.297
"466",0.819,0.281
"467",0.834,0.266
"468",0.847,0.253
"469",0.858,0.142
"470",0.869,0.131
"471",0.879,0.221
"472",0.888,0.112
"473",0.898,1.102
"474",0.91,0.59
"475",0.924,0.276
"476",0.939,1.161
"477",0.953,0.447
"478",0.966,0.234
"479",0.977,0.223
"480",0.987,0.213
"481",0.995,0.105
"482",1.004,0.696
"483",1.015,0.885
"484",1.03,1.57
"485",1.049,0.551
"486",1.069,0.331
"487",1.09,0.51
"488",1.11,0.99
"489",1.129,1.071
"490",1.146,0.654
"491",1.161,0.739
"492",1.174,0.526
"493",1.186,0.314
"494",1.195,0.205
"495",1.203,0.097
"496",1.21,0.19
"497",1.217,0.183
"498",1.224,0.276
"499",1.23,0.17
"500",1.235,0.165
"501",1.24,0.46
"502",1.244,0.556
"503",1.248,0.152
"504",1.25,0.15
"505",1.252,0.148
"506",1.252,0.148
"507",1.242,0.258
"508",1.229,0.271
"509",1.215,0.185
"510",1.204,0.096
"511",1.2,0
"512",1.201,0.499
"513",1.203,0.497
"514",1.208,0.392
"515",1.215,0.185
"516",1.221,0.079
"517",1.228,0.572
"518",1.235,0.265
"519",1.244,0.356
"520",1.253,0.247
"521",1.263,0.137
"522",1.271,0.229
"523",1.28,0.12
"524",1.289,0.511
"525",1.299,1.001
"526",1.313,0.487
"527",1.327,0.273
"528",1.342,0.458
"529",1.36,3.24
"530",1.39,2.51
"531",1.431,3.569
"532",1.484,2.616
"533",1.544,1.256
"534",1.604,1.796
"535",1.665,1.335
"536",1.724,1.176
"537",1.781,2.519
"538",1.834,1.666
"539",1.882,0.918
"540",1.924,2.176
"541",1.962,1.638
"542",1.994,0.806
"543",2.022,0.578
"544",2.046,0.354
"545",2.067,1.633
"546",2.087,0.913
"547",2.104,0.296
"548",2.119,0.781
"549",2.132,0.468
"550",2.143,0.157
"551",2.153,1.047
"552",2.162,1.938
"553",2.17,1.03
"554",2.175,0.525
"555",2.178,0.322
"556",2.18,0.22
"557",2.167,0.833
"558",2.145,0.955
"559",2.117,0.483
"560",2.09,0.31
"561",2.065,0.335
"562",2.046,0.154
"563",2.033,0.267
"564",2.024,0.076
"565",2.018,0.082
"566",2.011,0.089
"567",2.004,0.096
"568",2,0
"569",2.002,1.298
"570",2.008,0.992
"571",2.02,0.58
"572",2.033,0.667
"573",2.052,3.448
"574",2.082,2.318
"575",2.121,1.279
"576",2.163,1.137
"577",2.205,0.595
"578",2.283,27.617
"579",2.43,19.37
"580",2.599,13.401
"581",2.746,9.254
"582",2.868,5.132
"583",2.966,2.534
"584",3.048,1.452
"585",3.12,0.88
"586",3.187,1.413
"587",3.251,1.549
"588",3.315,1.685
"589",3.379,1.421
"590",3.439,1.961
"591",3.494,5.506
"592",3.544,4.456
"593",3.585,1.915
"594",3.62,0.88
"595",3.648,0.952
"596",3.671,1.229
"597",3.689,1.811
"598",3.702,0.898
"599",3.711,0.089
"600",3.718,0.382
"601",3.731,4.269
"602",3.758,3.142
"603",3.791,1.709
"604",3.82,2.08
"605",3.845,2.155
"606",3.865,2.435
"607",3.881,1.619
"608",3.891,0.909
"609",3.896,0.504
"610",3.898,0.202
"611",3.896,0.104
"612",3.887,0.413
"613",3.877,0.123
"614",3.866,0.734
"615",3.851,1.149
"616",3.83,1.27
"617",3.798,3.202
"618",3.769,0.231
"619",3.748,2.152
"620",3.716,2.284
"621",3.671,1.829
"622",3.612,2.988
"623",3.54,1.46
"624",3.5,0
"625",3.501,0.999
"626",3.508,1.492
"627",3.521,1.979
"628",3.547,4.753
"629",3.589,2.711
"630",3.65,7.05
"631",3.73,3.67
"632",3.822,1.678
"633",3.914,2.486
"634",4.005,2.295
"635",4.103,7.397
"636",4.221,11.279
"637",4.347,6.053
"638",4.459,2.941
"639",4.558,4.542
"640",4.642,4.058
"641",4.713,2.087
"642",4.771,2.729
"643",4.817,1.383
"644",4.854,0.646
"645",4.887,2.813
"646",4.916,2.484
"647",4.939,1.361
"648",4.957,1.543
"649",4.97,2.33
"650",4.977,2.823
"651",4.935,2.365
"652",4.834,1.366
"653",4.721,3.079
"654",4.589,5.211
"655",4.43,3.37
"656",4.25,2.85
"657",4.056,2.544
"658",3.866,2.334
"659",3.697,2.003
"660",3.546,1.854
"661",3.412,1.588
"662",3.283,2.017
"663",3.164,1.336
"664",3.063,1.237
"665",2.961,2.539
"666",2.847,1.853
"667",2.741,1.159
"668",2.659,0.941
"669",2.595,0.705
"670",2.542,0.658
"671",2.493,0.607
"672",2.448,0.552
"673",2.407,0.493
"674",2.366,1.234
"675",2.322,0.578
"676",2.279,0.521
"677",2.245,0.355
"678",2.22,0.28
"679",2.197,0.603
"680",2.176,0.224
"681",2.157,0.243
"682",2.142,0.158
"683",2.129,0.271
"684",2.115,0.185
"685",2.104,0.096
"686",2.1,0
"687",2.101,0.599
"688",2.104,0.396
"689",2.11,1.19
"690",2.122,2.178
"691",2.143,1.757
"692",2.167,1.433
"693",2.19,0.91
"694",2.21,5.09
"695",2.226,2.274
"696",2.237,2.363
"697",2.242,5.658
"698",2.172,2.428
"699",2.054,1.746
"700",1.938,1.362
"701",1.836,1.264
"702",1.742,1.158
"703",1.656,1.044
"704",1.579,0.921
"705",1.509,0.891
"706",1.444,0.756
"707",1.407,0.193
"708",1.4,0
"709",1.4,0.1
"710",1.401,0.199
"711",1.402,0.098
"712",1.404,0.096
"713",1.406,0.094
"714",1.409,0.291
"715",1.413,0.387
"716",1.418,0.382
"717",1.425,0.375
"718",1.433,0.367
"719",1.441,0.259
"720",1.45,0.25
"721",1.459,0.241
"722",1.469,0.431
"723",1.479,0.321
