"","nonexceed_prob","lower","true","upper"
"1",0.002,12.3236763279701,19.0517140703108,24.5680202732313
"2",0.004,13.4468927029914,19.4038289173207,24.6183982813723
"3",0.01,15.2039280392894,20.0217789343259,24.7500749472823
"4",0.02,16.7044033900891,20.6565065068343,24.948589504896
"5",0.04,18.3899677471824,21.5113606981558,25.3104004843845
"6",0.05,18.9554775467562,21.8519808404752,25.5083354101448
"7",0.1,20.7481154274492,23.2137926081327,26.6247661162629
"8",0.15,21.8070295470391,24.326621206651,27.8346553950642
"9",0.2,22.6066394974575,25.3418530225673,29.0966254275253
"10",0.25,23.3317648894001,26.3173383083482,30.3580890048652
"11",0.3,24.0216792248369,27.2848909831698,31.6317478697762
"12",0.35,24.7364391617475,28.2666813535713,32.9690357989615
"13",0.4,25.4780915329351,29.2813328763736,34.3178408075539
"14",0.45,26.2764377854101,30.3470370692997,35.7187764366976
"15",0.5,27.1109778292365,31.4837839780296,37.2658194874942
"16",0.55,28.0182506750479,32.7156141457605,38.9094980074271
"17",0.6,29.0174828134541,34.0735856427647,40.7395167769795
"18",0.65,30.1146362518453,35.600405518343,42.8437540893331
"19",0.7,31.356441511385,37.3585402022461,45.3738160433489
"20",0.75,32.6836424470119,39.4459364867361,48.497812836941
"21",0.8,34.2410360957658,42.0302356215312,52.6522081576191
"22",0.85,36.0559667146646,45.4357565922035,58.8166407437007
"23",0.9,38.3384180907121,50.4240221321385,69.3598742299313
"24",0.95,41.6673953528033,59.6042557878777,93.5767408526255
"25",0.96,42.6569602504473,62.7647326127195,103.130238028442
"26",0.98,45.4072699955643,73.3191373272329,140.845704828055
"27",0.99,47.9068537905643,85.1342811487386,194.456966229637
"28",0.996,50.7113115247595,103.016450684904,301.220418196373
"29",0.998,52.5987276775727,118.523402856446,419.549398190824
